fold,date,y_true_class,y_true_price
3,2016-10-27,0,1288.45
3,2016-11-01,1,1303.75
3,2016-11-02,1,1302.8
3,2016-11-04,0,1283.05
3,2016-11-07,0,1282.3499999999999
3,2016-11-08,0,1281.4000000000001
3,2016-11-09,0,1267.5
3,2016-11-10,0,1236.45
3,2016-11-11,0,1226.95
3,2016-11-15,0,1229.2
3,2016-11-16,1,1226.75
3,2016-11-17,0,1211
3,2016-11-18,0,1214.25
3,2016-11-21,1,1212.25
3,2016-11-22,0,1187.7
3,2016-11-25,0,1187
3,2016-11-28,0,1186.55
3,2016-11-29,0,1178.0999999999999
3,2016-11-30,0,1161.8499999999999
3,2016-12-01,0,1173.5
3,2016-12-02,1,1162.2
3,2016-12-05,0,1172.5
3,2016-12-06,1,1177.6500000000001
3,2016-12-07,1,1171.05
3,2016-12-08,0,1163.5999999999999
3,2016-12-09,0,1158.55
3,2016-12-13,0,1162.25
3,2016-12-14,1,1126.95
3,2016-12-15,0,1131.5999999999999
3,2016-12-16,1,1136.25
3,2016-12-19,1,1125.7
3,2016-12-20,0,1133.6500000000001
3,2016-12-21,1,1131.3499999999999
3,2016-12-22,0,1134.5999999999999
3,2016-12-28,1,1145.9000000000001
3,2016-12-29,1,1159.0999999999999
3,2016-12-30,1,1164.25
3,2017-01-04,1,1176.7
3,2017-01-05,1,1189.5
3,2017-01-10,1,1178.55
3,2017-01-11,0,1205.05
3,2017-01-12,1,1190.3499999999999
3,2017-01-13,0,1216.05
3,2017-01-17,1,1196.05
3,2017-01-19,0,1200.55
3,2017-01-20,1,1212.8499999999999
3,2017-01-23,1,1216.8
3,2017-01-24,1,1195
3,2017-01-25,0,1215.2
3,2017-02-03,1,1226.75
3,2017-02-06,1,1231
3,2017-02-07,1,1242.0999999999999
3,2017-02-08,1,1236.8
3,2017-02-09,0,1228.3
3,2017-02-10,0,1222.25
3,2017-02-13,0,1230.75
3,2017-02-14,1,1224.4000000000001
3,2017-02-15,0,1240.55
3,2017-02-16,1,1241.95
3,2017-02-17,1,1236.6500000000001
3,2017-02-22,0,1247.9000000000001
3,2017-02-23,1,1257.2
3,2017-02-27,1,1240.4000000000001
3,2017-03-01,0,1238.0999999999999
3,2017-03-02,0,1226.5
3,2017-03-03,0,1230.95
3,2017-03-06,1,1216.6500000000001
3,2017-03-07,0,1209.2
3,2017-03-08,0,1206.55
3,2017-03-09,0,1202.6500000000001
3,2017-03-10,0,1204.5999999999999
3,2017-03-14,1,1198.8
3,2017-03-15,0,1229.3499999999999
3,2017-03-16,1,1229.5999999999999
3,2017-03-17,1,1241.5999999999999
3,2017-03-21,1,1249.05
3,2017-03-22,1,1247.5
3,2017-03-24,0,1257.55
3,2017-03-27,1,1251.0999999999999
3,2017-03-29,0,1248.8
3,2017-03-30,0,1245.8
3,2017-04-05,0,1252.5
3,2017-04-06,1,1266.45
3,2017-04-07,1,1250.05
3,2017-04-10,0,1252.9000000000001
3,2017-04-11,1,1274.3
3,2017-04-12,1,1284.1500000000001
3,2017-04-13,1,1278.95
3,2017-04-18,0,1279.05
3,2017-04-19,1,1282.0999999999999
3,2017-04-20,1,1281.8499999999999
3,2017-04-21,0,1269.4000000000001
3,2017-04-24,0,1267.8
3,2017-04-25,0,1261.8499999999999
3,2017-04-26,0,1262.8
3,2017-04-27,1,1266.45
3,2017-04-28,1,1255.45
3,2017-05-02,0,1229.8
3,2017-05-08,0,1220.4000000000001
3,2017-05-09,0,1223.1500000000001
3,2017-05-11,1,1231.25
3,2017-05-12,1,1233.3
3,2017-05-15,1,1234.2
3,2017-05-16,1,1257.4000000000001
3,2017-05-17,1,1255.9000000000001
3,2017-05-18,0,1252
3,2017-05-19,0,1258.8499999999999
3,2017-05-22,1,1260.2
4,2017-05-23,1,1252.55
4,2017-05-24,0,1256.95
4,2017-05-25,1,1265.05
4,2017-05-26,1,1266.2
4,2017-05-31,1,1264.8499999999999
4,2017-06-01,0,1274.95
4,2017-06-02,1,1279.95
4,2017-06-05,1,1293.5
4,2017-06-06,1,1291
4,2017-06-07,0,1266.55
4,2017-06-09,0,1266.4000000000001
4,2017-06-12,0,1262
4,2017-06-13,0,1275.5
4,2017-06-14,1,1254.55
4,2017-06-15,0,1255.4000000000001
4,2017-06-16,1,1248.1500000000001
4,2017-06-19,0,1242.2
4,2017-06-20,0,1242.5
4,2017-06-21,1,1250.8
4,2017-06-22,1,1255.7
4,2017-06-23,1,1248
4,2017-06-28,0,1243.5
4,2017-06-29,0,1242.25
4,2017-06-30,0,1229.25
4,2017-07-03,0,1220.3
4,2017-07-05,0,1224.9000000000001
4,2017-07-06,1,1215.6500000000001
4,2017-07-07,0,1211.9000000000001
4,2017-07-10,0,1211.05
4,2017-07-11,0,1218.8
4,2017-07-12,1,1218.9000000000001
4,2017-07-13,1,1230.3
4,2017-07-14,1,1240.75
4,2017-07-18,1,1242.1500000000001
4,2017-07-19,1,1238.7
4,2017-07-20,0,1248.55
4,2017-07-21,1,1255.55
4,2017-07-24,1,1254.4000000000001
4,2017-07-25,0,1248.0999999999999
4,2017-07-26,0,1261.0999999999999
4,2017-07-27,1,1264.9000000000001
4,2017-07-28,1,1267.55
4,2017-07-31,1,1270.95
4,2017-08-01,1,1269.5999999999999
4,2017-08-02,0,1268.0999999999999
4,2017-08-03,0,1257.7
4,2017-08-04,0,1258
4,2017-08-07,1,1261.8
4,2017-08-08,1,1271.05
4,2017-08-09,1,1284.4000000000001
4,2017-08-10,1,1282.3
4,2017-08-14,0,1272.75
4,2017-08-16,0,1292.9000000000001
4,2017-08-21,1,1284.2
4,2017-08-22,0,1286.6500000000001
4,2017-08-23,1,1289
4,2017-08-24,1,1318.6500000000001
4,2017-08-29,1,1308.5
4,2017-08-30,0,1311.75
4,2017-08-31,1,1320.4000000000001
4,2017-09-01,1,1335.55
4,2017-09-05,1,1337.8499999999999
4,2017-09-06,1,1343.5
4,2017-09-07,1,1346.25
4,2017-09-08,1,1334.2
4,2017-09-11,0,1326.5
4,2017-09-12,0,1327.55
4,2017-09-13,1,1324.55
4,2017-09-14,0,1322.8499999999999
4,2017-09-15,0,1309.5999999999999
4,2017-09-19,0,1311.3
4,2017-09-20,1,1292.0999999999999
4,2017-09-21,0,1294.8
4,2017-09-22,1,1293.3
4,2017-09-25,0,1300.05
4,2017-09-26,1,1282.55
4,2017-09-27,0,1283.3499999999999
4,2017-09-28,1,1283.0999999999999
4,2017-09-29,0,1291.4000000000001
4,2017-10-10,1,1289.25
